date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:08	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://uselesswebsitelogi.wixsite.com/robots.txt		(from )
23:10:10	426497/426497	---MCZ	200	added ('OK')	text/html	etag:W/%22987ea4c4251ef145fd696fb93c5a8081%22	https://uselesswebsitelogi.wixsite.com/ai4stest	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest.html	(from )
23:10:10	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:10	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:11	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:13	84127/84127	---M--	200	added ('OK')	image/png	etag:%226522082f3c0c2b195b603ac272e124af%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/ironpatern.84ec58ff.png	C:/My%20Web%20Sites/AI4S/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/ironpatern.84ec58ff.png	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:13	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2027%20Mar%202024%2017:40:11%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/AI4S/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:13	4355/4355	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2017:40:13%20GMT	https://static.wixstatic.com/media/2bc7fc_db9cfe32e42b41b9868565356012e322~mv2.jpeg/v1/fill/w_103,h_106,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/ai4s.jpeg	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/2bc7fc_db9cfe32e42b41b9868565356012e322_mv2.jpeg/v1/fill/w_103,h_106,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/ai4s.jpg	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:13	3026/3026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:13%20GMT	https://uselesswebsitelogi.wixsite.com/	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/index.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:16	426593/426593	---MCZ	200	added ('OK')	text/html	etag:W/%229937f26ae60af5cb75907a329f67eb1f%22	https://uselesswebsitelogi.wixsite.com/ai4stest/workshops	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/workshops.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
